state_fips,n_records,weighted_pop,mean_pretax_income,median_pretax_income,mean_posttax_income,median_posttax_income,mean_market_income,median_market_income,mean_means_tested,median_means_tested,mean_social_insurance,median_social_insurance,mean_capital_income,median_capital_income,mean_federal_taxes,median_federal_taxes,mean_tax_credits,median_tax_credits,gini,pct_receiving_SSI_VAL,pct_receiving_PAW_VAL,bottom_50_mean_income
1,2164,4077342.34,47112.68468637098,30000.0,38964.62821662652,27258.0,41473.68778031525,24000.0,480.7937869499573,0.0,5638.996906055722,0.0,4201.082622135183,0.0,7333.820197010977,1995.5,552.5495948839067,0.0,0.5835914505820806,2.8864797259089117,0.3289274944718034,10782.269539113719
2,1317,576799.0,60274.50887676643,40500.0,50428.058906482154,35803.0,55444.827238344726,36000.0,654.7060909432923,0.0,4829.681638421704,0.0,4774.106924734613,21.0,10501.156061227568,3825.0,599.4300159327599,0.0,0.5721860063357134,2.342944422580483,1.6451016731998496,13067.525759937884
4,1982,5951748.76,54324.8195369826,34001.0,45148.43879860447,30546.0,48867.93521470822,28034.5,495.26738012207363,0.0,5456.884322274383,0.0,5669.497015132743,1.0,8844.310615191358,2972.5,515.560251362156,0.0,0.574384100551319,0.9881262192256921,0.49048374145416723,12755.570819768875
5,1995,2439295.24,45068.08834688251,31000.0,38181.441594236865,28012.0,39574.967427493524,24587.0,794.4653584860846,0.0,5493.1209193889945,0.0,3485.033648214719,1.0,6456.6054423121,2242.0,587.6793343925026,0.0,0.5452974702092472,2.525369171794063,0.29361718428147304,11541.196192788997
6,11731,31817098.02,60762.70809179473,32000.0,47639.87718809655,29409.0,56583.034040928855,28000.0,777.2931330206211,0.0,4179.674050865875,0.0,6445.2153339130955,1.0,11234.817156349509,2667.0,507.63723404495454,0.0,0.6344666107113979,2.3942726942637744,1.1983911913032477,10316.432341038339
8,1520,4914484.75,65011.89102999659,42651.0,53069.31752730131,37452.0,59572.99975381142,38000.0,778.3968096981072,0.0,5438.891276185159,0.0,6959.609328524216,10.0,11375.709233428794,4236.5,463.3610392849423,0.0,0.5567452872931589,1.8051273839032669,0.43449783825252486,16449.07787508877
9,1238,3041269.0,70982.75256856924,43031.5,55121.09323172004,35983.5,65585.05651422811,36001.0,969.2148043530512,0.0,5397.6960543411315,0.0,9825.438856921239,22.5,13508.438713500846,4013.0,422.31204252566937,0.0,0.6081161573558411,2.872096812218847,0.4418819907084839,14578.963635418537
10,1362,861744.31,55228.44645313643,36792.5,44583.84447505084,32378.5,48829.553526602336,30000.0,409.98727869755237,0.0,6398.892926534089,0.0,4251.197546822212,4.0,8786.418501457816,3060.0,595.2567158348861,0.0,0.5427205811217297,1.0165184612591176,0.6142645722836277,15255.434582859747
11,1652,568467.1799999999,97137.87264233972,65377.5,71044.03501229396,50474.5,93768.13476477217,62130.0,1617.8452097269715,0.0,3369.737877567532,0.0,9353.99932416503,243.5,21512.77777659917,8926.0,276.1613893523282,0.0,0.5664498555838933,2.696282307801833,0.5700381858456631,21978.150876822616
12,5793,19078460.13,51047.48785769431,32000.0,43316.389087243915,29232.0,44994.287914928806,26000.0,493.4022043507555,0.0,6053.199942765507,0.0,4476.847441039257,0.0,8224.500974801158,2295.0,476.7943744713532,0.0,0.5827797068829659,2.005359800492452,0.2698974112645013,11691.465504146872
13,2527,8999675.329999998,51419.01038171785,32002.0,41995.04278498234,28896.0,46517.5152233964,30000.0,594.09794119873,0.0,4901.4951583214515,0.0,4414.928265112205,0.0,8114.074840270935,2678.0,587.9674080742645,0.0,0.5915056145207286,2.6647912419747266,0.33367837059517574,10683.606913795
15,2108,1172028.6400000001,54881.980606497804,39329.0,43994.127781911535,32497.0,49059.273616999664,30000.0,600.420710256705,0.0,5822.70698949814,0.0,5756.73076130631,5.0,8815.950753242685,3060.0,608.287714504997,0.0,0.5712693286221132,2.1539576029473135,1.0065513416122662,13273.464072677782
16,2045,1576951.52,47333.69017324007,32000.0,39659.930053588454,28321.0,42256.00435291124,27000.0,611.56868902349,0.0,5077.685820328832,0.0,3763.33610744102,3.0,6865.1722972942125,2505.0,723.4364380459838,0.0,0.5514639446850393,1.5519640071116454,0.3620954688575334,12018.040455794562
17,3116,10403399.469999999,59413.49174773061,38001.5,47276.66488726498,32773.5,54723.185801303276,33682.0,754.3131543895239,0.0,4690.3059464273365,0.0,5261.287207943771,5.0,10377.596668583948,3488.0,552.699167290555,0.0,0.5658530674901152,1.632465719400084,0.8387041202408044,14672.376166648395
18,1793,5535549.67,52738.14454382269,37006.0,43060.27818850193,32129.0,47267.725518967294,30001.0,715.5865827087772,0.0,5470.419024855395,0.0,4753.612206912056,5.0,8208.423019177786,3031.0,655.2852203546391,0.0,0.5431830484754758,1.860467273162414,0.48141271578545886,14077.250635385002
