state_fips,n_records,weighted_pop,mean_pretax_income,median_pretax_income,mean_posttax_income,median_posttax_income,mean_market_income,median_market_income,mean_means_tested,median_means_tested,mean_social_insurance,median_social_insurance,mean_capital_income,median_capital_income,mean_federal_taxes,median_federal_taxes,mean_tax_credits,median_tax_credits,gini,pct_receiving_SSI_VAL,pct_receiving_PAW_VAL,bottom_50_mean_income,state_name,transfer_dependency,capital_share,b50_relative,gini_norm,transfer_dependency_z,capital_share_z,b50_relative_z,gini_norm_z,exposure_index,treatment_group
1,2164,4077342.34,47112.68468637098,30000.0,38964.62821662652,27258.0,41473.68778031525,24000.0,480.7937869499573,0.0,5638.996906055722,0.0,4201.082622135183,0.0,7333.820197010977,1995.5,552.5495948839067,0.0,0.5835914505820806,2.886479725908912,0.3289274944718034,10782.26953911372,Alabama,0.12989687880758888,0.0891709451520706,0.7867698291259677,0.9198142829418977,0.9618944721711236,-0.22645118056832536,-1.0141762700735253,0.6608346490456898,0.8070505531763374,High Exposure
2,1317,576799.0,60274.50887676643,40500.0,50428.05890648216,35803.0,55444.827238344726,36000.0,654.7060909432923,0.0,4829.681638421704,0.0,4774.106924734613,21.0,10501.156061227568,3825.0,599.4300159327599,0.0,0.5721860063357134,2.342944422580483,1.6451016731998496,13067.525759937884,Alaska,0.09099016867276412,0.07920606926048059,0.9535223518527063,0.90183785352258,-0.8324510749212652,-0.8332528527899326,-0.24279346505132446,0.2491044749068516,-0.043711013807185256,Medium Exposure
4,1982,5951748.76,54324.8195369826,34001.0,45148.43879860447,30546.0,48867.93521470822,28034.5,495.2673801220736,0.0,5456.884322274383,0.0,5669.497015132743,1.0,8844.310615191358,2972.5,515.560251362156,0.0,0.574384100551319,0.988126219225692,0.4904837414541672,12755.570819768876,Arizona,0.10956597284864282,0.10436292404566813,0.930759358024605,0.9053023293176751,0.02424977156880455,0.6986499744566399,-0.3480931135525839,0.3284544497623388,0.07380874789882853,Medium Exposure
5,1995,2439295.24,45068.08834688251,31000.0,38181.44159423687,28012.0,39574.96742749352,24587.0,794.4653584860846,0.0,5493.1209193889945,0.0,3485.033648214719,1.0,6456.6054423121,2242.0,587.6793343925026,0.0,0.5452974702092472,2.525369171794063,0.293617184281473,11541.196192788995,Arkansas,0.139513045893592,0.07732818888147468,0.8421478357195887,0.8594581038674842,1.4053842077738696,-0.9476045985226242,-0.7580023821814198,-0.7215566780083057,0.7171145415520128,High Exposure
6,11731,31817098.02,60762.70809179473,32000.0,47639.87718809655,29409.0,56583.034040928855,28000.0,777.2931330206211,0.0,4179.674050865875,0.0,6445.215333913096,1.0,11234.817156349509,2667.0,507.63723404495454,0.0,0.6344666107113979,2.3942726942637744,1.1983911913032477,10316.43234103834,California,0.08157910237308653,0.10607189074220089,0.7527782236109369,1.0,-1.2664817305510947,0.802715881599779,-1.1714185089352473,2.4973995462049525,0.2872294739887147,Medium Exposure
8,1520,4914484.75,65011.89102999659,42651.0,53069.31752730131,37452.0,59572.99975381142,38000.0,778.3968096981072,0.0,5438.891276185159,0.0,6959.609328524216,10.0,11375.709233428794,4236.5,463.3610392849423,0.0,0.5567452872931589,1.8051273839032669,0.4344978382525248,16449.07787508877,Colorado,0.09563309092200686,0.10705132889171062,1.2002703273291666,0.8775013182630782,-0.6183233104673915,0.8623578393547906,0.8986414130793731,-0.3082968680741346,-0.6770186321054443,Low Exposure
9,1238,3041269.0,70982.75256856924,43031.5,55121.09323172004,35983.5,65585.05651422811,36001.0,969.2148043530512,0.0,5397.696054341132,0.0,9825.43885692124,22.5,13508.438713500846,4013.0,422.31204252566937,0.0,0.6081161573558411,2.872096812218847,0.4418819907084839,14578.963635418537,Connecticut,0.08969659006311086,0.13842008799855826,1.063810238341971,0.9584683371659051,-0.8921098589716724,2.772528692322105,0.2673887969554232,1.5461628811205248,-0.499101817350923,Low Exposure
10,1362,861744.31,55228.44645313643,36792.5,44583.84447505084,32378.5,48829.553526602336,30000.0,409.9872786975524,0.0,6398.892926534089,0.0,4251.197546822212,4.0,8786.418501457816,3060.0,595.2567158348861,0.0,0.5427205811217297,1.0165184612591176,0.6142645722836277,15255.434582859749,Delaware,0.12328574570731864,0.07697478056764687,1.1131715467192378,0.8553965992208832,0.6569944382541737,-0.9691250628154832,0.49572995721492213,-0.8145809364082374,0.06368163836515917,Medium Exposure
11,1652,568467.1799999999,97137.87264233972,65377.5,71044.03501229396,50474.5,93768.13476477216,62130.0,1617.8452097269717,0.0,3369.737877567532,0.0,9353.99932416503,243.5,21512.77777659917,8926.0,276.1613893523282,0.0,0.5664498555838933,2.696282307801833,0.5700381858456631,21978.150876822616,DC,0.05134540166077874,0.09629611056653797,1.6037204363269713,0.8927969510464222,-2.660835199586644,0.20742901376538384,2.7649668615718914,0.042032632993656296,-1.7834902037929692,Low Exposure
12,5793,19078460.13,51047.48785769431,32000.0,43316.38908724392,29232.0,44994.287914928806,26000.0,493.4022043507555,0.0,6053.199942765507,0.0,4476.847441039257,0.0,8224.500974801158,2295.0,476.7943744713532,0.0,0.5827797068829659,2.005359800492452,0.2698974112645013,11691.465504146872,Florida,0.12824533433195193,0.08769966219531544,0.8531128148449049,0.9185348717240173,0.8857265961051473,-0.31604356166598135,-0.7072793333400125,0.6315311543835619,0.6959008737654149,High Exposure
