percentile,mean_income,n_persons,weighted_persons,snap_loss,medicaid_loss,nondiscr_loss,tariff_loss,total_loss,pct_of_income
52,38364.160378907916,1138,2730664.5599999996,38.639999999999986,67.2,252.1818181818182,376.7272727272727,734.7490909090909,1.9151965888273312
53,39784.0274698651,1167,2731446.25,36.959999999999994,64.8,248.72727272727272,374.18181818181813,724.6690909090909,1.8215076174929763
54,40061.565357461644,1120,2731959.6799999997,35.279999999999994,62.4,245.27272727272725,371.63636363636357,714.5890909090908,1.783727332002506
55,41196.49605059431,1160,2732059.16,33.599999999999994,60.0,241.8181818181818,369.09090909090907,704.5090909090909,1.7101189626512605
56,42537.17368766769,1174,2731081.12,31.91999999999999,57.599999999999994,238.36363636363635,366.5454545454545,694.4290909090909,1.632522875186742
57,44365.45726076307,1125,2729452.1,30.239999999999988,55.19999999999999,234.90909090909088,363.99999999999994,684.3490909090908,1.5425268512093777
58,45204.04366447225,1142,2732219.9,28.55999999999999,52.80000000000002,231.45454545454544,361.4545454545454,674.2690909090909,1.4916123343165142
59,46575.73743592623,1129,2732764.12,26.87999999999999,50.40000000000002,228.0,358.9090909090909,664.1890909090909,1.4260409549560198
60,48208.01359803749,1150,2730838.92,25.2,48.000000000000014,224.54545454545456,356.3636363636364,654.1090909090909,1.356847217068739
61,49809.32972671126,1193,2731610.48,23.519999999999996,45.60000000000001,221.0909090909091,353.8181818181818,644.0290909090909,1.2929888726523402
62,50044.76140966501,1135,2731248.9,21.839999999999993,43.20000000000001,217.63636363636363,351.27272727272725,633.949090909091,1.2667641388468247
63,51059.5286099621,1171,2732470.2399999998,20.159999999999997,40.800000000000004,214.1818181818182,348.7272727272727,623.8690909090908,1.2218465541951151
64,52568.22671856434,1133,2729129.27,18.479999999999993,38.400000000000006,210.72727272727272,346.1818181818182,613.7890909090909,1.1676047095808404
65,54528.824789558894,1159,2733368.04,16.79999999999999,36.00000000000001,207.27272727272725,343.6363636363636,603.709090909091,1.1071375428298031
66,55520.71940782189,1139,2732373.8499999996,15.11999999999999,33.6,203.8181818181818,341.09090909090907,593.6290909090909,1.069202807961921
67,57400.09221040033,1156,2729464.02,13.439999999999989,31.2,200.36363636363635,338.5454545454545,583.5490909090909,1.0166344137045784
68,59614.8207628945,1166,2732792.29,11.759999999999987,28.799999999999997,196.90909090909088,336.0,573.4690909090909,0.9619572508486514
69,60092.8313281492,1200,2732076.62,10.079999999999986,26.399999999999995,193.45454545454544,333.45454545454544,563.3890909090909,0.9375312802829834
70,61498.7297718356,1168,2731358.1900000004,8.399999999999984,23.999999999999993,190.0,330.90909090909093,553.3090909090909,0.8997081613911452
71,63795.20100884229,1156,2731523.0700000003,6.719999999999982,21.60000000000002,186.54545454545456,328.3636363636364,543.2290909090909,0.8515203061023305
72,65529.74412626076,1146,2731120.99,5.0399999999999805,19.200000000000017,183.0909090909091,325.8181818181818,533.1490909090909,0.8135986154345958
73,67891.49768474033,1136,2729480.01,3.360000000000003,16.80000000000001,179.63636363636363,323.2727272727273,523.069090909091,0.7704485962852148
74,69995.56612091852,1143,2731589.7,1.6800000000000015,14.400000000000013,176.1818181818182,320.72727272727275,512.9890909090909,0.7328879803942061
75,71590.6151464618,1157,2732041.22,0.0,12.00000000000001,172.72727272727272,318.1818181818182,502.9090909090909,0.702479074778485
76,74275.14491913699,1161,2728401.84,0.0,9.600000000000009,169.27272727272725,315.6363636363636,494.5090909090909,0.6657800418261866
77,75989.62240298315,1147,2735634.4299999997,0.0,7.200000000000006,165.8181818181818,313.09090909090907,486.1090909090909,0.6397045748315333
78,79114.8593618732,1141,2732019.11,0.0,4.800000000000004,162.36363636363635,310.54545454545456,477.70909090909095,0.6038171523809939
79,80936.80756321942,1172,2730591.15,0.0,2.400000000000002,158.90909090909088,308.0,469.30909090909086,0.5798463085444967
80,83971.41798644741,1148,2732557.4,0.0,0.0,155.45454545454547,305.45454545454544,460.9090909090909,0.5488880644881802
81,86981.34948303722,1118,2728653.95,0.0,0.0,152.0,302.9090909090909,454.9090909090909,0.5229961291849187
82,90320.93580764321,1153,2732282.1399999997,0.0,0.0,148.54545454545456,300.3636363636364,448.90909090909093,0.4970155445080131
83,93862.95430033232,1167,2731221.83,0.0,0.0,145.0909090909091,297.8181818181818,442.9090909090909,0.47186783562332724
84,98322.26975201217,1161,2732997.0,0.0,0.0,141.63636363636363,295.27272727272725,436.9090909090909,0.44436432561113604
85,100898.77188732094,1160,2729934.84,0.0,0.0,138.1818181818182,292.7272727272727,430.9090909090909,0.42707069952279514
86,105158.42354576867,1137,2732113.1399999997,0.0,0.0,134.72727272727272,290.1818181818182,424.9090909090909,0.40406567213719724
87,110492.3171278909,1160,2732889.4899999998,0.0,0.0,131.27272727272725,287.6363636363636,418.9090909090909,0.37912960991144623
88,116196.92675074015,1131,2726451.85,0.0,0.0,127.8181818181818,285.09090909090907,412.9090909090909,0.3553528500756675
89,121692.87669895448,1148,2736655.87,0.0,0.0,124.36363636363635,282.5454545454545,406.9090909090909,0.3343737956952963
90,128198.44433802084,1186,2728561.62,0.0,0.0,120.90909090909089,279.99999999999994,400.9090909090908,0.3127253945859232
91,136372.8917930778,1144,2733479.56,0.0,0.0,117.45454545454542,277.45454545454544,394.9090909090909,0.2895803452700093
92,146225.2625842257,1189,2729997.92,0.0,0.0,113.99999999999997,274.9090909090909,388.9090909090909,0.26596573262098216
93,154506.24453660063,1118,2730025.5599999996,0.0,0.0,110.54545454545452,272.3636363636363,382.9090909090908,0.2478275826698929
94,167662.51265415968,1162,2731786.3,0.0,0.0,107.09090909090905,269.81818181818176,376.9090909090908,0.224802244069041
95,184754.58903413263,1148,2732600.4400000004,0.0,0.0,103.6363636363636,267.27272727272725,370.9090909090909,0.20075771478702864
96,205562.2328850781,1132,2730118.5,0.0,0.0,100.18181818181814,264.7272727272727,364.9090909090908,0.17751757498815332
97,239187.91336786427,1148,2734242.0700000003,0.0,0.0,96.72727272727275,262.1818181818182,358.90909090909093,0.15005318866472106
98,308831.7260821968,1175,2729752.58,0.0,0.0,93.2727272727273,259.6363636363636,352.90909090909093,0.11427229170592491
99,671159.9360613606,1124,2734463.2600000002,0.0,0.0,89.81818181818183,257.09090909090907,346.9090909090909,0.05168799153073625
