percentile,mean_income,n_persons,weighted_persons,snap_loss,medicaid_loss,nondiscr_loss,tariff_loss,total_loss,pct_of_income
1,-181.04590339198973,2158,5460167.52,124.32,189.6,428.3636363636364,506.54545454545456,1248.8290909090908,0.0
2,0.0,923,2733271.12,122.63999999999999,187.2,424.9090909090909,504.0,1238.749090909091,0.0
3,0.0,1110,2731775.8,120.96,184.79999999999998,421.45454545454544,501.45454545454544,1228.669090909091,0.0
4,0.0,1357,2731927.66,119.27999999999999,182.4,418.0,498.9090909090909,1218.5890909090908,0.0
5,0.0,1364,2731697.5999999996,117.59999999999998,180.0,414.5454545454545,496.3636363636363,1208.5090909090907,0.0
6,0.0,1204,2728713.0500000003,115.91999999999999,177.6,411.09090909090907,493.8181818181818,1198.4290909090907,0.0
7,0.0,1390,2730726.2199999997,114.23999999999998,175.2,407.6363636363636,491.27272727272725,1188.3490909090908,0.0
8,0.0,1065,2733455.39,112.56000000000002,172.8,404.18181818181813,488.7272727272727,1178.269090909091,0.0
9,0.0,1127,2732058.38,110.88000000000001,170.40000000000003,400.7272727272727,486.18181818181813,1168.1890909090907,0.0
10,0.0,1223,2731686.69,109.2,168.00000000000003,397.27272727272725,483.6363636363636,1158.1090909090908,0.0
11,0.0,1161,2731766.29,107.52000000000001,165.60000000000002,393.81818181818176,481.09090909090907,1148.0290909090909,0.0
12,0.0,1043,2729851.71,105.84,163.2,390.3636363636363,478.5454545454545,1137.9490909090907,0.0
13,0.4265141728007258,1117,2733215.9499999997,104.16,160.79999999999998,386.90909090909093,475.99999999999994,1127.8690909090908,264438.83060271695
14,2.5029745024131955,1183,2730112.09,102.47999999999999,158.4,383.4545454545455,473.45454545454544,1117.7890909090909,44658.42899443824
15,28.516009728563326,1169,2731992.29,100.8,156.0,380.0,470.9090909090909,1107.7090909090907,3884.516457432485
16,370.82308766441173,1179,2729097.88,99.11999999999999,153.6,376.54545454545456,468.3636363636363,1097.6290909090908,295.9980452733907
17,1353.4460163534734,1211,2732176.77,97.43999999999998,151.2,373.0909090909091,465.81818181818176,1087.5490909090909,80.35407971713742
18,2565.7732632455136,1193,2732938.96,95.75999999999999,148.8,369.6363636363636,463.2727272727272,1077.469090909091,41.993932446944754
