survey_year,income_year,n_records,total_pop_weight,median_income,median_income_real2024,bottom50_income_share,bottom50_transfer_pct,gini_computed,q1_share,q2_share,q3_share,q4_share,q5_share,q1_mean_income,q2_mean_income,q3_mean_income,q4_mean_income,q5_mean_income,p20,p50,p80,p90,p95
2003,2002,216424,285933409.89,12000.0,20928.713862120087,5.125923586595825,44.15725673878158,0.6561650876892666,-0.057539667582823036,1.24199525606794,10.552190523476849,23.717780593770335,64.54557329426771,-65.57942486641562,1415.5624424908362,12026.438849443102,27031.847829022605,73562.56524636858,0.0,12000.0,37261.0,55893.0,77421.0
2006,2005,208562,293834357.96,13000.0,20884.650904745646,5.0948641109370065,44.18117526272063,0.6583406672974517,-0.045758075585619014,1.2297151662331185,10.469601015357632,23.487768591083928,64.84481978959263,-57.28186455875274,1539.3618172015915,13106.067006806818,29402.239561066257,81174.17480183013,0.0,13000.0,40202.0,61454.0,85500.0
2009,2008,207921,301482826.92,14042.0,20463.938139819922,5.232375357643021,43.135719657957075,0.6542038344964396,-0.025380453469500568,1.2867932120537182,10.574862957607602,23.675173759374378,64.48855052443379,-34.219168454972056,1734.83164300145,14256.856405000843,31918.50797060602,86943.32310175076,0.0,14042.0,45000.0,67000.0,92801.0
2012,2011,201398,308827258.80999994,13876.0,19352.73742866077,4.932874939302198,47.99529151274608,0.6635614254531846,-0.015828727718474152,1.125990026275414,10.167826928529195,23.12477194826506,65.5972398246488,-21.81043232023902,1551.487904600727,14010.233782801653,31862.925417237617,90385.23243655864,0.0,13876.0,45000.0,69152.0,97685.0
2015,2014,199024,316167948.59000003,15031.0,19919.300184469364,5.052237072155606,43.7828067778783,0.6610648525376096,-0.01734168476284006,1.1974574029472078,10.287940380962562,23.11759966716964,65.38520587236593,-26.165146004668493,1806.6900990967035,15522.030298855163,34879.71506092073,98652.37241598818,0.0,15031.0,50000.0,75137.0,105503.0
2018,2017,180084,323156082.86,18000.0,23035.835362943195,5.4426564179147,45.97867752218745,0.6572749745469848,-0.013258747612472394,1.4611646669565441,10.489901908788292,22.936694719946278,65.09766933367025,-22.87236220279996,2520.5629721483965,18096.108178436218,39566.16926966386,112297.23257330082,0.0,18000.0,55005.0,85056.0,120839.0
2021,2020,163543,326195439.67,20119.0,24381.50751979304,5.709790992771652,48.65922670369403,0.655581244434466,-0.01575333661847855,1.621489064451602,10.629424563889463,22.812884661161668,64.95195504711575,-30.751552149830275,3165.012248551659,20748.319421338947,44527.39701641964,126782.61963589536,0.0,20119.0,61001.0,95750.0,137762.0
2024,2023,144265,332382485.08,25032.0,25770.972087573802,6.095193636080212,41.933795076318354,0.6493302651401285,-0.0061034588480832494,1.7931416148220964,11.035593897960263,22.872523110349004,64.27695048458831,-14.09312761422261,4140.046180133591,25480.803310584033,52810.64976058722,148413.03174372623,0.0,25032.0,72012.0,111165.0,157600.0
